serial,epoch,batchsize,filter,first_conv_kernel,second_conv_kernel,output_height,output_width,dense_layer,max_core,driver_core,executor_cores,task_cpus,executor_instances,driver_memory,executor_memory,memory_fraction,storage_fraction,parallelism,dataLoadingTime,dataShuffleTime,forwardTime,backwardTime,lossTime,ComputeTime,GetWeightTime,PutGradientTime,AggregateGradTime,dataValidationTime,Just random string,first_conv_flops,first_pool,first_relu,second_conv_flops,second_pool,second_relu,dense_layer_1,dense_layer_2,total_flops_per_epoch
1,1,2000,5,4,4,4,4,100,1,1,1,1,1,1g,4g,1,0,1,992029194,23099177,183049807,211038814,2744367,397357755,23928926,1905836,0,1284755291,InstrumentationResult,163072,2304,2304,116352,576,576,13000,2020,600408000
2,1,2000,5,4,4,4,4,200,1,1,1,1,1,1g,4g,1,0,1,818283089,24072537,183334031,201156529,2981695,387991311,24954101,1855773,0,1375716964,InstrumentationResult,163072,2304,2304,116352,576,576,26000,4020,630408000
3,1,2000,5,4,4,4,4,300,1,1,1,1,1,1g,4g,1,0,1,812564136,19999672,189522882,210677170,2623251,403340050,23927309,1810076,0,1271651882,InstrumentationResult,163072,2304,2304,116352,576,576,39000,6020,660408000
4,1,2000,5,4,4,4,4,400,1,1,1,1,1,1g,4g,1,0,1,739165362,21209263,176755352,209014154,2589609,394750223,23366700,1823627,0,1346675932,InstrumentationResult,163072,2304,2304,116352,576,576,52000,8020,690408000
5,1,2000,5,4,4,4,4,500,1,1,1,1,1,1g,4g,1,0,1,835945433,22929746,186163229,211439922,2628068,400701391,23862511,1877844,0,1399222441,InstrumentationResult,163072,2304,2304,116352,576,576,65000,10020,720408000
6,1,2000,5,4,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,850443976,24643596,194074896,225425372,2165873,422211168,25645228,2032850,0,1341690031,InstrumentationResult,163072,2304,2304,232704,1152,1152,25800,2020,861016000
7,1,2000,5,4,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,808891967,22149982,197442362,224925275,2906540,425806566,31400768,1839930,0,1370978625,InstrumentationResult,163072,2304,2304,232704,1152,1152,51600,4020,916616000
8,1,2000,5,4,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,732340614,24528938,190788531,218718051,2570020,412575083,28799582,1866941,0,1397159258,InstrumentationResult,163072,2304,2304,232704,1152,1152,77400,6020,972216000
9,1,2000,5,4,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,820555422,22901347,182897325,199121443,2830982,390795614,23657380,1856134,0,1357684129,InstrumentationResult,163072,2304,2304,232704,1152,1152,103200,8020,1027816000
10,1,2000,5,4,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,820260919,24548548,206015180,235060845,2739776,444324226,29660429,1952717,0,1451928856,InstrumentationResult,163072,2304,2304,232704,1152,1152,129000,10020,1083416000
11,1,2000,5,8,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,806496027,22637366,203922974,239761504,2786877,446954179,23329734,1724874,0,1351871243,InstrumentationResult,326144,4608,4608,463104,1152,1152,25800,2020,1657176000
12,1,2000,5,8,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,735070176,23362178,207954269,244421798,2240163,455159986,23947931,1922020,0,1523582962,InstrumentationResult,326144,4608,4608,463104,1152,1152,51600,4020,1712776000
13,1,2000,5,8,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,795962329,22241463,325312044,358656216,2238524,686743194,24120977,1966368,0,1876183615,InstrumentationResult,326144,4608,4608,463104,1152,1152,77400,6020,1768376000
14,1,2000,5,8,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,848619400,18285071,321643359,350469479,2638238,675231785,23097473,1789313,0,1908334608,InstrumentationResult,326144,4608,4608,463104,1152,1152,103200,8020,1823976000
15,1,2000,5,8,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,885414677,24072822,353252836,388244606,2502843,744505367,23316975,1839377,0,2086217667,InstrumentationResult,326144,4608,4608,463104,1152,1152,129000,10020,1879576000
16,1,2000,5,8,16,4,4,100,1,1,1,1,1,1g,4g,1,0,1,801847513,19164337,337888621,375193693,2433825,716393309,23267241,1834581,0,1911194524,InstrumentationResult,326144,4608,4608,926208,2304,2304,51400,2020,2639192000
17,1,2000,5,8,16,4,4,200,1,1,1,1,1,1g,4g,1,0,1,765736404,22097873,363581272,384646524,2354130,751150332,23446705,1856454,0,2008613691,InstrumentationResult,326144,4608,4608,926208,2304,2304,102800,4020,2745992000
18,1,2000,5,8,16,4,4,300,1,1,1,1,1,1g,4g,1,0,1,780815720,25273700,334775072,370554093,1751913,707645171,24572985,2016633,0,2017464292,InstrumentationResult,326144,4608,4608,926208,2304,2304,154200,6020,2852792000
19,1,2000,5,8,16,4,4,400,1,1,1,1,1,1g,4g,1,0,1,888060176,18163487,372739264,408330250,2322416,783869942,22941185,1759416,0,2119075389,InstrumentationResult,326144,4608,4608,926208,2304,2304,205600,8020,2959592000
20,1,2000,5,8,16,4,4,500,1,1,1,1,1,1g,4g,1,0,1,713211121,20125965,373015260,414308504,2474180,790263794,23215132,1944477,0,2082987238,InstrumentationResult,326144,4608,4608,926208,2304,2304,257000,10020,3066392000
21,1,2000,5,16,16,4,4,100,1,1,1,1,1,1g,4g,1,0,1,836012316,23137920,619163940,612805673,2314155,1234851424,24469691,2153795,0,3459067409,InstrumentationResult,652288,9216,9216,1847808,2304,2304,51400,2020,5153112000
22,1,2000,5,16,16,4,4,200,1,1,1,1,1,1g,4g,1,0,1,816587044,20095938,587651195,630173045,2226022,1220604959,30751440,1954370,0,3322854656,InstrumentationResult,652288,9216,9216,1847808,2304,2304,102800,4020,5259912000
23,1,2000,5,16,16,4,4,300,1,1,1,1,1,1g,4g,1,0,1,791603545,23851968,585358557,625928301,2208852,1213992317,30160476,1841091,0,3304143789,InstrumentationResult,652288,9216,9216,1847808,2304,2304,154200,6020,5366712000
24,1,2000,5,16,16,4,4,400,1,1,1,1,1,1g,4g,1,0,1,844352726,26962280,633524767,649685845,1772113,1285510615,31727263,2134180,0,3425345645,InstrumentationResult,652288,9216,9216,1847808,2304,2304,205600,8020,5473512000
25,1,2000,5,16,16,4,4,500,1,1,1,1,1,1g,4g,1,0,1,774324000,22897786,616116977,657848549,2316047,1276770377,31575137,1744206,0,3386445490,InstrumentationResult,652288,9216,9216,1847808,2304,2304,257000,10020,5580312000
26,1,2000,5,16,32,4,4,100,1,1,1,1,1,1g,4g,1,0,1,828317676,27824748,628004269,637026309,2262750,1267798050,23012093,1955529,0,3403994401,InstrumentationResult,652288,9216,9216,3695616,4608,4608,102600,2020,8960344000
27,1,2000,5,16,32,4,4,200,1,1,1,1,1,1g,4g,1,0,1,831469344,25062240,694093140,759058168,1823432,1455491378,31062170,1964619,0,3826073644,InstrumentationResult,652288,9216,9216,3695616,4608,4608,205200,4020,9169544000
28,1,2000,5,16,32,4,4,300,1,1,1,1,1,1g,4g,1,0,1,818107181,19706440,692441858,761164625,2227932,1456345566,23403485,1873550,0,3765237076,InstrumentationResult,652288,9216,9216,3695616,4608,4608,307800,6020,9378744000
29,1,2000,5,16,32,4,4,400,1,1,1,1,1,1g,4g,1,0,1,823912757,18255532,699604231,772644581,2264299,1475021727,23954609,2288693,0,3823168006,InstrumentationResult,652288,9216,9216,3695616,4608,4608,410400,8020,9587944000
30,1,2000,5,16,32,4,4,500,1,1,1,1,1,1g,4g,1,0,1,858642073,22740854,591245020,617813289,2373599,1212002062,30794064,1952951,0,3280965881,InstrumentationResult,652288,9216,9216,3695616,4608,4608,513000,10020,9797144000
31,1,2000,5,32,32,4,4,100,1,1,1,1,1,1g,4g,1,0,1,773562761,21542323,706888096,799554530,2304222,1509340677,23513655,2331939,0,3830501124,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,102600,2020,17674584000
32,1,2000,5,32,32,4,4,200,1,1,1,1,1,1g,4g,1,0,1,834661632,23579290,1133668182,1343525991,2701222,2480430062,23495218,1830656,0,5832487892,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,205200,4020,17883784000
33,1,2000,5,32,32,4,4,300,1,1,1,1,1,1g,4g,1,0,1,839630340,25617514,689763718,795617881,2151554,1488118221,23853772,2474422,0,3738049873,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,307800,6020,18092984000
34,1,2000,5,32,32,4,4,400,1,1,1,1,1,1g,4g,1,0,1,724177872,23172318,1153447688,1349393169,2302965,2505749064,23534997,2012968,0,6034750933,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,410400,8020,18302184000
35,1,2000,5,32,32,4,4,500,1,1,1,1,1,1g,4g,1,0,1,794430006,23386457,1168464339,1380197182,2249263,2551451185,23501874,11971111,0,6266264831,InstrumentationResult,1304576,18432,18432,7382016,4608,4608,513000,10020,18511384000
36,1,2000,5,32,64,4,4,100,1,1,1,1,1,1g,4g,1,0,1,846716445,29372710,1195288475,1388703695,2027178,2586608229,24226512,2498025,0,6125843619,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,205000,2020,32661848000
37,1,2000,5,32,64,4,4,200,1,1,1,1,1,1g,4g,1,0,1,771869462,24865348,1406138011,1824376803,2312602,3233363088,23958205,26858689,0,7693846552,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,410000,4020,33075848000
38,1,2000,5,32,64,4,4,300,1,1,1,1,1,1g,4g,1,0,1,794529678,24178441,1412012041,1793159554,2399074,3208168348,23193255,2318738,0,8359227152,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,615000,6020,33489848000
39,1,2000,5,32,64,4,4,400,1,1,1,1,1,1g,4g,1,0,1,801066029,22592920,595586215,612807126,2280798,1211210774,29990839,1804590,0,3266134496,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,820000,8020,33903848000
40,1,2000,5,32,64,4,4,500,1,1,1,1,1,1g,4g,1,0,1,861252804,21729918,1445021119,1843434094,2181359,3291169996,23867774,2717544,0,8011277316,InstrumentationResult,1304576,18432,18432,14764032,9216,9216,1025000,10020,34317848000
41,1,2000,5,64,64,4,4,100,1,1,1,1,1,1g,6g,1,0,1,772774538,23174560,2454035773,3250070905,1741109,5706435154,24830913,2637035,0,12745576125,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,205000,2020,64835928000
42,1,2000,5,64,64,4,4,200,1,1,1,1,1,1g,6g,1,0,1,863195148,26597856,2432872715,3294198603,2260378,5729896965,23169519,2343188,0,12902173642,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,410000,4020,65249928000
43,1,2000,5,64,64,4,4,300,1,1,1,1,1,1g,6g,1,0,1,845309790,21928154,2487508530,3335519264,2389802,5825972155,23858212,3087743,0,13046073752,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,615000,6020,65663928000
44,1,2000,5,64,64,4,4,400,1,1,1,1,1,1g,6g,1,0,1,807452649,23336348,2455194204,3478590471,2018244,5936464408,24387811,3138131,0,12654763052,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,820000,8020,66077928000
45,1,2000,5,64,64,4,4,500,1,1,1,1,1,1g,6g,1,0,1,852373197,24195458,2488294835,3300963978,2219868,5792049079,23761977,3089472,0,12826629339,InstrumentationResult,2609152,36864,36864,29509632,9216,9216,1025000,10020,66491928000
46,1,2000,5,64,128,4,4,100,1,1,1,1,1,1g,8g,1,0,1,855261535,22816040,2510344849,3450718323,1857298,5963534410,60555230,3447786,0,13005144775,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,409800,2020,124301656000
47,1,2000,5,64,128,4,4,200,1,1,1,1,1,1g,8g,1,0,1,793523075,22526696,3356789725,5043545525,2286751,8403170183,25050249,2793511,0,17019544145,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,819600,4020,125125256000
48,1,2000,5,64,128,4,4,300,1,1,1,1,1,1g,8g,1,0,1,819597848,25042471,3385758766,5016623758,2460430,8405364011,23709270,3041723,0,18860750139,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,1229400,6020,125948856000
49,1,2000,5,64,128,4,4,400,1,1,1,1,1,1g,8g,1,0,1,796029436,25807486,3386965344,5102801769,2287139,8492581968,24093500,4117123,0,17480872448,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,1639200,8020,126772456000
50,1,2000,5,64,128,4,4,500,1,1,1,1,1,1g,8g,1,0,1,764208649,21869297,3450644268,5173204701,1756779,8626199558,25249595,4604910,0,17916982285,InstrumentationResult,2609152,36864,36864,59019264,18432,18432,2049000,10020,127596056000
51,1,1000,5,4,4,4,4,100,1,1,1,1,1,1g,4g,1,0,1,762658228,20736285,733493086,905774822,1387965,1641087744,13332674,2363455,0,7624496629,InstrumentationResult,163072,2304,2304,116352,576,576,13000,2020,300204000
52,1,1000,5,4,4,4,4,200,1,1,1,1,1,1g,4g,1,0,1,822305390,20792525,94480906,108526938,1496375,204943306,14524413,1424621,0,1250786773,InstrumentationResult,163072,2304,2304,116352,576,576,26000,4020,315204000
53,1,1000,5,4,4,4,4,300,1,1,1,1,1,1g,4g,1,0,1,854917686,24518378,94694548,106588237,1514219,203256384,13701593,1363732,0,1294743297,InstrumentationResult,163072,2304,2304,116352,576,576,39000,6020,330204000
54,1,1000,5,4,4,4,4,400,1,1,1,1,1,1g,4g,1,0,1,838188987,20818114,98030006,113758848,1544241,213778357,13295043,1341478,0,1409657786,InstrumentationResult,163072,2304,2304,116352,576,576,52000,8020,345204000
55,1,1000,5,4,4,4,4,500,1,1,1,1,1,1g,4g,1,0,1,818404830,24365041,96138685,116461156,1477432,214553993,13680576,1503423,0,1344451074,InstrumentationResult,163072,2304,2304,116352,576,576,65000,10020,360204000
56,1,1000,5,4,8,4,4,100,1,1,1,1,1,1g,4g,1,0,1,762819127,24467693,103737561,122738543,1269302,228310330,13585863,1669303,0,1398552233,InstrumentationResult,163072,2304,2304,232704,1152,1152,25800,2020,430508000
57,1,1000,5,4,8,4,4,200,1,1,1,1,1,1g,4g,1,0,1,834823839,22201347,101995205,119627922,1432274,223500350,13565209,1389707,0,1453146172,InstrumentationResult,163072,2304,2304,232704,1152,1152,51600,4020,458308000
58,1,1000,5,4,8,4,4,300,1,1,1,1,1,1g,4g,1,0,1,809339669,24411630,104704001,119634925,1465079,226229207,13322611,1393988,0,1420697134,InstrumentationResult,163072,2304,2304,232704,1152,1152,77400,6020,486108000
59,1,1000,5,4,8,4,4,400,1,1,1,1,1,1g,4g,1,0,1,834430343,27246277,111886567,135366698,1275224,249039787,13437072,1527083,0,1499832979,InstrumentationResult,163072,2304,2304,232704,1152,1152,103200,8020,513908000
60,1,1000,5,4,8,4,4,500,1,1,1,1,1,1g,4g,1,0,1,823183407,21684378,108469031,131944112,1531332,242380024,13412523,1420424,0,1417995952,InstrumentationResult,163072,2304,2304,232704,1152,1152,129000,10020,541708000
